brand,desc,disc_price,actual_price,image_url
MANOHARI,Banarasi Silk Jacquard Saree With Blouse Piece,2499,6999,https://m.media-amazon.com/images/I/91EabjNVRPL._AC_UL320_.jpg
Mashur Fab,Letest New Degine Saree For Womens Soft Satin Silk Saree With Heavy Degital printed Work,799,2599,https://m.media-amazon.com/images/I/51aP8aT0ziS._AC_UL320_.jpg
CLOTHAM,Women’s Banarasi Saree,1199,3999,https://m.media-amazon.com/images/I/919fS7cJn0L._AC_UL320_.jpg
CLOTHAM,Women’s Banarasi Silk Saree With Blouse Piece (Kara135_Parent),1100,4499,https://m.media-amazon.com/images/I/91KVACOWhoL._AC_UL320_.jpg
ANNI DESIGNER,Women's Banarasi Silk Printed Saree,379,2598,https://m.media-amazon.com/images/I/91WCQ88UV5L._AC_UL320_.jpg
Flosive,Bandhani Mysore Silk Saree With Blouse Piece (NK-Maroon bandhni AB),394,1999,https://m.media-amazon.com/images/I/81Ln2cqtsLL._AC_UL320_.jpg
ANNI DESIGNER,Women's Zoya Silk Printed Saree,379,2599,https://m.media-amazon.com/images/I/913VtoIq8DL._AC_UL320_.jpg
Saree Mania,Women's Banarasi kanjivaram Silk Jacquard Saree With Blouse Piece(Peach Pink),988,2999,https://m.media-amazon.com/images/I/81aaDUrREUS._AC_UL320_.jpg
Yashika,Women sana silk saree,449,2599,https://m.media-amazon.com/images/I/612LYRvZlbL._AC_UL320_.jpg
Tereza,"Women's Saree Dola Silk Materials with Hot Fix Stone Work, Weaving Design|Unstitched Blouse Brocket Lace Blouse FABRIC |Heavy Boarder (BLOUSE 0.80)",455,2449,https://m.media-amazon.com/images/I/91UdXgFeHLL._AC_UL320_.jpg
Yashika,Women's Art Silk Saree With Blouse Piece(NAURTA_Free Size),299,1047,https://m.media-amazon.com/images/I/91GKFgnS5uL._AC_UL320_.jpg
Flosive,Women's Half Design Cotton Kanchipuram and Cotton Embroidery Work Replica Casual Beautiful Saree with Blouse Material for Sadi Offer Marriage(NK- pink work sadie),479,800,https://m.media-amazon.com/images/I/511CLqMrkIL._AC_UL320_.jpg
HITHROW,Cotton Saree with Blouse Piece,299,999,https://m.media-amazon.com/images/I/81-r-y6iwoS._AC_UL320_.jpg
DHRUVI TRENDZ,Soft Cotton & Silk Saree For Women Banarasi Saree Under 399 2021 Beautiful For Women saree,309,1999,https://m.media-amazon.com/images/I/810bWMiAmaL._AC_UL320_.jpg
RUNAYA NX,Vimalnath Synthetics Printed Art Silk Saree(sun),379,1299,https://m.media-amazon.com/images/I/71Jn-8l7C5L._AC_UL320_.jpg
Satrani,Women's Georgette Floral Printed Saree With Blouse Piece,329,1025,https://m.media-amazon.com/images/I/71v25XUM21L._AC_UL320_.jpg
SGF11,SGF11Women Kanjivaram Soft Silk Saree With Blouse Piece (Green Yellow),988,6999,https://m.media-amazon.com/images/I/712fU35Wo3L._AC_UL320_.jpg
Yashika,women's cottton silk sarees with blouse piece (Multi-Color_Free_Size) SDPL-CHANDNI BLUE,429,2499,https://m.media-amazon.com/images/I/71fhnjPoLgL._AC_UL320_.jpg
Laves,Women Cotton Silk Saree With Blouse Piece (south silk sarees),244,900,https://m.media-amazon.com/images/I/51NvZsMuAOL._AC_UL320_.jpg
RUNAYA NX,Printed Art Silk Saree,188,1299,https://m.media-amazon.com/images/I/91zRuNpRVGL._AC_UL320_.jpg
DHRUVI TRENDZ,Women's Z-card Foil Print CottonSilk Saree For Women Banarasi Saree Under 449 2021 Beautiful For Women saree,469,1999,https://m.media-amazon.com/images/I/81dkSgs7nsL._AC_UL320_.jpg
GoSriKi,Women's Plain Weave Art Silk Saree with Blouse Piece (ART-COMBO-725_Multicolor_FS_Multicolour),569,5599,https://m.media-amazon.com/images/I/61yjPyQtLmS._AC_UL320_.jpg
