0,1,2,3,4,5,6,7,8,9,10
0,265,3859,15209,13305,2328,11155,7446,11168,11386,6100
1,248,656,8277,5914,7647,3629,5328,713,2089,4731
2,11499,5617,15313,14258,6577,6824,10586,1364,3830,2667
3,9375,14903,9429,7398,4515,12222,11392,11008,14208,7707
4,1809,244,10489,1080,14760,9231,5779,15160,6771,357
5,121,68,103,15186,13762,5961,2745,3075,296,15616
6,406,1182,5565,12959,6091,5342,433,7061,3655,8623
7,13497,2188,15322,2997,918,1595,153,4331,2811,5436
8,7410,11722,1419,14831,4035,6804,13245,13618,3734,12734
9,183,14601,944,8318,15645,4958,13553,12753,10918,11647
10,6880,7836,1276,14784,460,11836,9829,30,6600,12632
11,43,18,1703,834,13105,4954,152,4431,170,6230
12,6199,11511,4867,8219,9562,12867,1031,560,362,5214
13,911,7748,13685,3747,4021,11740,1135,139,1040,15739
14,2273,5958,5806,13195,2197,5887,6220,504,2183,6370
15,1160,14423,9764,5791,7461,5703,165,4994,12005,628
16,13656,7590,7224,14518,305,3704,817,5415,1595,1505
17,13874,14524,11537,8701,7993,12887,2346,14800,15004,1489
18,43,11,1703,834,4954,13105,152,6230,170,9757
19,11011,11180,1501,4703,9614,12186,7835,13386,6425,208
20,5386,2455,4021,911,13,8863,13466,1900,9200,3772
21,2692,10708,6354,1201,15356,9025,13713,6978,12525,9752
22,8121,605,6602,6504,13047,161,554,5658,1342,10217
23,10631,751,1310,1689,6842,15327,630,11564,14414,8582
24,5875,14427,60,6861,10709,893,1321,10119,9137,10138
25,4432,537,6589,4096,7599,2506,6018,12165,12431,4838
26,12705,7276,2203,2857,7340,5893,12981,7007,6860,15763
27,2706,12045,12267,791,1517,5556,5138,5642,6635,179
28,3736,4964,3255,1961,203,12790,177,2047,5763,3724
29,4953,8336,233,8555,15780,9447,4854,4626,12514,15852
30,12632,992,6880,5283,10,7836,3907,6246,12503,7165
31,5350,1356,8512,2665,8762,1977,5689,6036,10535,12361
32,3222,8037,11119,7867,258,15840,15201,9560,9687,12948
33,14370,4742,14468,6216,5669,12856,4572,3846,15539,6989
34,5715,11753,12063,13116,12578,5167,13348,5440,7519,10216
35,7256,8240,7441,3244,627,2990,9246,10423,11999,10291
36,4810,14822,9362,3299,11567,2624,7639,724,4213,12477
37,6119,298,918,15322,2997,7,2188,13497,4334,5415
38,10249,1170,10135,7937,10630,2202,15690,5241,14093,14625
39,5744,2174,4043,15407,10387,4508,4533,11676,3132,8314
40,628,12542,5253,4842,7465,2785,13217,13506,5165,15
41,2785,10132,3375,9182,12526,3456,7619,1748,1534,3674
42,3456,1748,10532,12956,10580,2275,2718,8115,13168,7523
43,18,11,1703,834,13105,4954,152,170,6230,4431
44,375,1175,9331,1964,11895,8162,7677,3601,4267,5712
45,6346,1604,14817,2978,10624,3834,417,1540,12513,3848
46,283,433,1615,3656,406,4255,6989,5044,2280,15230
47,390,1372,3888,13338,3103,7218,13757,14990,2005,460
48,12348,9619,3186,12937,13311,2770,7381,11433,1623,11720
49,11094,1213,3568,8913,1714,15483,6482,14875,8664,7009
50,3273,15189,8933,12472,8380,392,1400,12568,6131,15364
51,8783,8664,3739,13679,6323,15151,915,8480,6117,1827
52,6654,9363,6605,14472,13449,4472,1796,11760,10986,6272
53,3574,10591,13688,3119,94,6091,3655,222,406,13226
54,8359,3025,7983,15419,2919,16113,3507,7519,1200,2170
55,78,8294,9653,14666,13015,15579,13117,3329,6284,12464
56,230,9697,14437,8328,8559,7349,7047,5478,8593,14022
57,389,11169,1328,13644,2668,5015,11339,5586,2572,6287
58,5158,5963,8996,8241,12664,14214,2394,6032,1252,11419
59,13507,2109,7703,14901,11513,3901,5480,11760,4419,6654
60,16123,14849,8460,6940,4185,8263,12631,4440,9138,783
61,222,3684,3119,618,10591,13688,15420,9595,5371,14105
62,201,11105,3889,2664,11089,6810,9368,6548,8933,13192
63,5516,13402,16076,14699,7979,13614,4389,1067,7905,4112
64,6979,8093,11065,2271,2281,219,9055,2072,2459,13278
65,5675,2442,3920,1581,14203,10677,9928,1028,3439,3848
66,9267,2613,8637,661,10476,6530,8036,1287,13643,4569
67,467,6200,1503,1773,5562,1605,15045,14731,7848,12435
68,121,5,103,15186,13762,8560,15616,6222,5961,296
69,8956,6139,3226,12848,399,12119,318,8697,259,1988
70,1050,14029,10177,14017,6260,12179,15251,4219,11228,13820
71,6927,2334,13625,414,1662,6312,1483,11250,11412,13735
72,15383,3270,8277,656,248,13128,8401,1,7647,2089
73,15863,7380,1194,988,8706,10240,15036,4490,7016,5112
74,14313,2641,5612,7801,2678,15670,10243,8027,11096,15597
75,1553,256,12621,585,6895,610,4754,2114,5203,3991
76,3210,5531,1089,8665,7441,8202,10291,7277,4574,35
77,13896,134,6010,10096,12862,12836,1025,3839,7131,15409
78,12801,55,4936,15579,1543,4790,1706,8294,3468,8650
79,4613,15087,7692,10389,569,1051,8616,1274,6178,9563
80,11355,11936,2737,5520,246,1586,15282,12815,10058,4241
81,184,2963,3315,14406,1018,10305,12516,10549,12716,15072
82,10080,5301,10691,10047,15545,2275,8103,10993,12032,10754
83,4188,4858,6485,2129,181,10183,4548,1350,4999,12574
84,7118,13344,4314,2430,13552,803,11101,4598,2662,11954
85,15744,2799,8026,16011,10953,5373,14364,2589,5480,14689
86,4577,15320,6156,3461,15597,2219,6894,13785,14291,7761
87,805,5741,5675,65,2163,12950,2442,2602,11842,11336
88,967,151,7956,2295,123,6858,111,732,3709,671
89,6140,11473,15085,226,6356,7136,15942,249,7284,5686
90,117,14897,12093,10874,8023,9180,9337,10145,9924,7847
91,6825,14423,1108,6234,11896,12930,2878,9764,14447,10950
92,12785,13004,14105,798,3603,6070,9327,7481,6468,6930
93,762,3835,10876,3786,5734,5312,12860,4808,2289,8832
94,3655,10591,13688,3574,6091,406,1922,12959,3531,53
95,2956,3631,2045,576,14832,13969,8430,10528,15705,13648
96,7086,8148,10408,6025,6504,7826,605,161,807,12864
97,13835,9948,11925,1766,731,571,10258,13339,4839,4628
98,16129,3045,1744,7239,8743,4548,16102,3272,4788,3630
99,518,13146,15328,12287,9393,14963,8798,1169,11638,13989
100,14177,7822,12302,5681,1771,10381,13654,13968,12887,2588
101,4252,1425,1401,2996,2372,1388,2320,13340,6828,14182
102,3558,5684,13392,9332,6144,534,1311,5907,16055,12105
103,121,5,68,15186,13762,15616,5961,8560,6222,1829
104,3580,9776,330,7285,2458,11121,9798,3500,9411,3442
105,14206,7798,3396,12620,5706,7983,3667,1438,6157,15377
106,8119,140,6308,9244,14700,5829,812,15926,13604,13462
107,544,3832,14457,15705,7398,9750,12599,15907,15414,11167
108,10854,1042,3205,596,5402,4282,11823,311,2120,16128
109,13555,10647,724,4213,3299,9362,11213,10768,14822,5592
110,446,7793,481,13627,3362,13275,6810,10873,6588,15383
111,5454,8933,11221,967,6778,15712,13097,151,88,5924
112,511,3693,11175,2454,8091,7322,7208,12443,12302,15749
113,1363,565,6023,980,12095,14619,12603,6415,11296,13423
114,9040,1949,4838,12431,7599,4736,2585,11979,12266,12620
115,3788,11137,8773,3748,14288,14870,3549,2290,4023,11416
116,2188,7,12927,13497,15322,918,2997,9957,215,1608
117,11875,10871,90,9337,14825,2735,9443,5220,1156,12668
118,6843,2194,757,15656,9647,7075,5755,3057,667,1892
119,326,1210,7738,834,4954,13105,152,170,9780,2691
120,7922,8925,4699,14226,13684,10086,2805,8005,13995,143
121,5,68,103,15186,13762,5961,15616,8560,6222,1829
122,6693,13143,7350,8922,1751,1040,4235,3709,1812,10479
123,671,430,14216,10451,9637,12828,7168,7012,7309,9373
124,4140,1999,4296,2737,5520,11355,80,11936,14397,557
125,10704,9622,10556,3979,4740,6181,510,4997,3493,8671
126,2704,162,6968,1113,11731,997,1486,12483,11020,682
127,141,13032,14822,497,323,10569,1111,9685,12674,8630
128,386,1503,67,14419,6200,1434,3870,467,7162,6824
129,1285,136,8561,7500,4339,9787,7982,10710,9130,10735
130,10584,167,16082,3273,2802,15506,11269,1794,15836,3077
131,754,5939,4858,721,11345,3422,10297,1214,12096,10183
132,260,14762,5805,11939,2885,1048,5679,11152,4491,13943
133,6588,5417,520,8708,16120,7517,13627,7897,14183,7404
134,11288,6007,10096,5785,13506,11007,7493,3711,4994,6963
135,1934,3177,6387,852,1612,11543,9541,6882,12311,2326
136,1389,1285,129,9656,9130,5161,7982,281,13453,15061
137,632,4986,481,13630,15576,7793,446,13627,110,1732
138,13394,8844,784,3228,3932,1380,7827,2218,9887,5611
139,9426,13143,911,13,5029,1135,3747,9444,11740,13685
140,11137,361,5109,8119,15023,6025,6618,6308,6505,811
141,127,13032,14822,497,323,1111,10569,9685,12674,8630
142,2122,845,1042,1189,6312,4628,7005,10560,10031,551
143,770,14226,4337,13473,14650,5070,9616,1833,498,1883
144,329,13264,8848,6513,13803,11032,2131,1502,2863,8838
145,5940,2970,5472,7557,3885,11268,13783,6900,14221,1303
146,6246,11907,14335,12547,9939,734,8564,12867,16099,783
